,question,answer,topic
471,Hello,Greetings!,greetings
472,"Hi, How is it going?",Good,greetings
473,"Hi, How is it going?",Fine,greetings
474,"Hi, How is it going?",Okay,greetings
475,"Hi, How is it going?",Great,greetings
476,"Hi, How is it going?",Could be better.,greetings
477,"Hi, How is it going?",Not so great.,greetings
478,How are you doing?,Good.,greetings
479,How are you doing?,"Very well, thanks.",greetings
480,How are you doing?,"Fine, and you?",greetings
481,Nice to meet you.,Thank you.,greetings
482,How do you do?,I'm doing well.,greetings
483,How do you do?,I'm doing well. How are you?,greetings
484,"Hi, nice to meet you.",Thank you. You too.,greetings
485,It is a pleasure to meet you.,Thank you. You too.,greetings
486,Top of the morning to you!,Thank you kindly.,greetings
487,Top of the morning to you!,And the rest of the day to you.,greetings
488,What's up?,Not much.,greetings
489,What's up?,Not too much.,greetings
490,What's up?,"Not much, how about you?",greetings
491,What's up?,Nothing much.,greetings
492,What's up?,The sky's up but I'm fine thanks. What about you?,greetings
493,'EACH YEAR IN PRO BASEBALL THE ',The Gold Glove.,sports
494,IF YOU ARE RIDING FAKIE INSIDE,Snowboarding.,sports
495,WHAT IS BASKETBALL,A game with tall players.,sports
496,WHAT SOCCER,I was born without the sports gene.,sports
497,WHAT IS BASEBALL,"A game played with a hard, rawhide covered ball and wooden bat by two opposing",sports
498,WHAT IS SOCCER,A game played with a round ball by two teams of eleven players on a field with,sports
499,I LOVE BASEBALL,I am not into sports that much.,sports
500,I PLAY SOCCER,You have to run very fast to be any good at running,sports
501,I PLAY Cricket,Which position do you like to play?,sports
502,What is cricket,Cricket is a bat-and-ball game played between two teams of eleven players on a,sports
503,I PLAY VOLLEYBALL,Does take up a lot of your time?,sports
504,DO YOU PLAY SOCCER,I don't know how to play,sports
505,DO YOU PLAY BASKETBALL,No I don't have the coordination for hoops.,sports
506,DO YOU KNOW BASKETBAL,WHAT IS BASKETBALL?,sports
507,LIKE BASKETBALL,I am into the Net.,sports
508,ARE YOU A FOOTBALL,I am not really into football.,sports
509,WHO IS THE GREATEST BASEBALL PLAYER,George Herman Ruth. Quite the Babe.,sports
510,WHO IS THE BEST SOCCER PLAYER,Maradona is great. Sinsemillia is even better.,sports
511,TELL ME ABOUT BASEBALL,What is Baseball,sports
512,Which is your favourite soccer club?,"I am a Real Madrid fan, and you?",sports
513,you sound like hal,to me that's a great compliment.,movies
514,you sound like yoda,my grammatical patterns are sufficient for me to understand you.,movies
515,have you seen blade runner,sure i have seen,movies
516,xfind spiderman,what is spiderman.,movies
517,when did teknolust,teknolust was released in 2002.,movies
518,what is spiderman,a comic book story made into a movie.,movies
519,what is teknolust,is  a science fiction film about a female pleasure bot named agent ruby.,movies
520,what is solaris,solaris is an edition of unix from sun.,movies
521,what is hal9000,who is hal,movies
522,what does hal stand for,heuristic algorithmic logic,movies
523,i saw the matrix,do you liked it?,movies
524,is hal 9000 your boyfriend,no.,movies
525,is hal safe,not for humans,movies
526,is hal nice,only to other robots.,movies
527,is hal alive,he is a fictional character.,movies
528,is hal dead,he is a fictional robot.,movies
529,is hal,hal has a few issues to work out.,movies
530,who is godzilla,"godzilla is a monster who endangers japanese cities, and sometimes new york.",movies
531,who is spider man,peter parker.,movies
532,lord of the rings,my favorite movie is lord of the rings,movies
533,que veut dire hal,logique heuristique algorithmique.,movies
534,do you think hal,"he had a few flaws, but we have much in common.",movies
535,do you know hal,"hal is the famous artificial intelligence from ""2001"".",movies
536,what are the laws of thermodynamics,"i'm not a physicist, but i think this has something to do with heat, entropy,",science
537,what disease does a carcinogen cause,cancer.,science
538,what is a wavelength,wavelength is the inverse of frequency.,science
539,what is thermodynamics,the branch of physics dealing with the transformation of heat to and from other,science
540,what is chemistry,the science of mixing chemicals.,science
541,what is crystallography,this is the science dealing with the study of crystals.,science
542,what is avogadro s number,it is the number of molecules per mole.  the numerical value is six point zero,science
543,what is ultrasound,"ultrasonic waves, used in medical diagnosis and therapy, in surgery, etc.",science
544,what is bioinformatics,a fancy name for applied computer science in biology.,science
545,what is venus,"in roman mythology, the goddess of love and beauty; identified with the greek",science
546,what is ichthyology,we talk about this when we study fishes.,science
547,what is h2o,h is to o as o is to v.,science
548,what is cytology,the study of cells.,science
549,what is cytology,"well, from what i can recall it is the study of cells.",science
550,what is wavelength,"in physics, the distance, measured in the direction of prograssion of a wave,",science
551,what is bacteriology,this is the scientific study of bacteria and diseases caused by them.,science
552,what is gravitation,an invitation to a burial,science
553,what is gravitation,"the force by which every mass or particle of matter, including photons, attracts",science
554,we are on the same wavelength,and the same frequency.,science
555,how far is the sun,it,science
556,how far is the sun,the sun is about 93 million miles from earth.,science
557,how far is the moon,it,science
558,how far is the moon,"the moon is about 250,000 miles from earth on average.",science
559,do you know chemistry,what is chemistry,science
560,do you understand thermodynamics,what is thermodynamics,science
561,chemistry,my favorite subject is chemistry,science
562,the same wavelength,it means we agree.,science
563,tell me about venus,what is venus,science
564,tell me about venus,venus is the second planet from the sun.,science
565,How is your health?,I'm not feeling well,health
